song,listeners,streams,saves,release_date
"Weed and Drinks (feat. French Montana & Chinx Drugz)",0,351856,0,2012-01-02
"Running Them Lips (feat. Chazz Gotti)",0,359932,0,2013-10-22
"I'm The Type",0,239890,0,2018-03-23
"What's Happenin'",0,236499,0,2016-05-09
"Rainy Dayz",0,339592,0,2013-10-22
"Feed Me (feat. Frenchie)",0,231045,0,2022-04-01
"Dear Diary (feat. Gucci Mane & OJ Da Juiceman)",0,229332,0,2022-04-01
"Paddy Kake (feat. Krazy Blacx & Loudiene)",0,228580,0,2018-05-31
"Feed Me (feat. Frenchie)",0,368202,0,2011-08-05
"Clientele",0,226294,0,2018-05-31
"0-100 (Freestyle)",0,223459,0,2022-04-01
"Real Recognize Real",0,223634,0,2018-01-19
"Death of Me",0,220906,0,2018-01-19
"Don't Let Me",0,220853,0,2016-05-09
"Rumors",0,216160,0,2018-02-23
"Headshot",0,215895,0,2016-05-09
"Murda (feat. Chief Keef & Bo Deal)",0,215105,0,2018-01-19
"Too Loyal (feat. Slim Dunkin)",0,213579,0,2022-04-01
"Cold Hearted Killaz",0,210655,0,2018-05-31
"24 Hours (feat. Sony)",0,206744,0,2018-01-19
"Wet Wet (feat. Blair Maxberry)",0,204662,0,2018-02-02
"Stoned",0,354174,0,2011-08-05
"Fuck Em Up",0,201636,0,2019-04-16
"Karma, Pt. 2",0,198483,0,2019-04-16
"Ain't Afraid",0,196721,0,2016-05-09
"Snakes",0,195772,0,2018-05-31
"Stoned",0,193298,0,2022-04-01
"Rollin (feat. Gunplay)",0,192214,0,2018-02-23
"Call the Squad (feat. Rocko)",0,198845,0,2011-08-16
"Y&R",0,188638,0,2018-05-31
"Materialistic (feat. K-So)",0,272241,0,2013-10-22
"Prize (feat. Jimmy Rocket)",0,187816,0,2018-05-31
"Back to the Money",0,187170,0,2016-05-09
"Turn Up",0,185522,0,2022-04-01
"Clap",0,184925,0,2022-04-01
"Go Hard",0,88859,0,2018-01-19
"Not at All - Yakz Remix",0,181450,0,2019-08-09
"Sick Of Ballin 2.0",0,178583,0,2022-12-23
